defect_id,zone,classification,centroid_x_px,centroid_y_px,length_um,width_um,width_px,area_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px
img35_D1,Core,Scratch,541.6764705882352,376.6764705882353,,,9.899494171142578,170,524,359,44,44
img35_D2,Core,Scratch,618.3235294117648,376.6764705882353,,,59.396968841552734,170,593,359,44,44
img35_D3,Core,Scratch,541.6764705882352,453.3235294117647,,,59.396968841552734,170,524,428,44,44
img35_D4,Core,Scratch,618.3235294117648,453.3235294117647,,,9.899494171142578,170,593,428,44,44
