defect_id,zone,classification,confidence_score,centroid_x_px,centroid_y_px,length_px,width_px,area_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,rotated_rect_center_px,rotated_rect_angle_deg
D1,Core,Pit/Dig,0.7897385697282021,578.316353651625,423.11555173379713,255.3589630126953,255.3589324951172,51169,450,294,257,258,"(578.300048828125, 423.10003662109375)",153.43495178222656
D2,Cladding,Pit/Dig,0.26599971067281986,578.1564237496535,419.0728527821336,338.0,336.0,89598,409,251,339,337,"(578.0, 419.0)",90.0
