defect_id,zone,classification,centroid_x_px,centroid_y_px,width_px,area_px
19700101001420-J65548-FT52_D1,Core,Pit/Dig,604.6189793363573,420.5019590629014,634.0,307545
19700101001420-J65548-FT52_D2,Cladding,Pit/Dig,624.0,291.0,1.4142134189605713,5
19700101001420-J65548-FT52_D3,Cladding,Pit/Dig,626.72,296.4,3.0,25
19700101001420-J65548-FT52_D4,Cladding,Pit/Dig,571.0,297.0,1.4142134189605713,5
19700101001420-J65548-FT52_D5,Cladding,Pit/Dig,641.0,298.0,1.4142134189605713,5
19700101001420-J65548-FT52_D6,Cladding,Pit/Dig,577.0,299.5,3.535533905029297,12
19700101001420-J65548-FT52_D7,Cladding,Pit/Dig,548.2307692307693,304.2307692307692,3.535533905029297,13
19700101001420-J65548-FT52_D8,Cladding,Pit/Dig,565.3333333333334,308.55555555555554,3.535533905029297,36
19700101001420-J65548-FT52_D9,Cladding,Pit/Dig,652.25,306.25,7.071067810058594,24
19700101001420-J65548-FT52_D10,Cladding,Pit/Dig,553.4571428571429,309.6,4.949747562408447,35
19700101001420-J65548-FT52_D11,Cladding,Pit/Dig,541.0,310.0,1.4142134189605713,5
19700101001420-J65548-FT52_D12,Cladding,Pit/Dig,661.0,314.5,2.1213202476501465,8
19700101001420-J65548-FT52_D13,Cladding,Pit/Dig,539.2,315.8,2.8284268379211426,15
19700101001420-J65548-FT52_D14,Cladding,Pit/Dig,694.5,331.5,1.4142134189605713,8
19700101001420-J65548-FT52_D15,Cladding,Pit/Dig,521.0,333.0,1.4142134189605713,5
19700101001420-J65548-FT52_D16,Cladding,Pit/Dig,508.0,341.0,1.4142134189605713,5
19700101001420-J65548-FT52_D17,Cladding,Pit/Dig,489.5,379.0,2.1213202476501465,8
19700101001420-J65548-FT52_D18,Cladding,Pit/Dig,485.5,391.5,2.8284268379211426,12
19700101001420-J65548-FT52_D19,Cladding,Pit/Dig,731.0,407.0,1.4142134189605713,5
19700101001420-J65548-FT52_D20,Cladding,Pit/Dig,729.0,414.0,1.4142134189605713,5
19700101001420-J65548-FT52_D21,Cladding,Pit/Dig,486.0,416.0,1.4142134189605713,5
19700101001420-J65548-FT52_D22,Cladding,Pit/Dig,481.0,421.0,1.4142134189605713,5
19700101001420-J65548-FT52_D23,Cladding,Pit/Dig,727.6923076923077,430.84615384615387,2.8460497856140137,13
19700101001420-J65548-FT52_D24,Cladding,Pit/Dig,481.7,434.7,2.1213202476501465,10
19700101001420-J65548-FT52_D25,Cladding,Pit/Dig,725.0,443.0,1.4142134189605713,5
19700101001420-J65548-FT52_D26,Cladding,Pit/Dig,721.0,457.0,1.4142134189605713,5
19700101001420-J65548-FT52_D27,Cladding,Pit/Dig,491.0,467.0,1.4142134189605713,5
19700101001420-J65548-FT52_D28,Cladding,Pit/Dig,496.7,467.7,2.1213202476501465,10
19700101001420-J65548-FT52_D29,Cladding,Pit/Dig,513.2941176470588,496.7647058823529,4.242640495300293,17
19700101001420-J65548-FT52_D30,Cladding,Pit/Dig,531.0,514.0,1.4142134189605713,5
19700101001420-J65548-FT52_D31,Cladding,Pit/Dig,517.0,516.0,1.4142134189605713,5
19700101001420-J65548-FT52_D32,Cladding,Pit/Dig,530.7,519.7,2.1213202476501465,10
19700101001420-J65548-FT52_D33,Cladding,Pit/Dig,531.3,527.7,2.8284268379211426,10
19700101001420-J65548-FT52_D34,Cladding,Pit/Dig,550.0,527.0,1.4142134189605713,5
19700101001420-J65548-FT52_D35,Cladding,Pit/Dig,544.0,535.0,1.4142134189605713,5
19700101001420-J65548-FT52_D36,Cladding,Pit/Dig,552.0,538.0,1.4142134189605713,5
19700101001420-J65548-FT52_D37,Cladding,Pit/Dig,627.0,539.0,1.4142134189605713,5
19700101001420-J65548-FT52_D38,Cladding,Pit/Dig,569.1739130434783,542.6521739130435,3.130495071411133,23
19700101001420-J65548-FT52_D39,Cladding,Scratch,618.3333333333334,544.047619047619,2.2188007831573486,21
19700101001420-J65548-FT52_D40,Cladding,Pit/Dig,583.0,546.0,2.8284268379211426,9
19700101001420-J65548-FT52_D41,Cladding,Pit/Dig,611.0,546.0,1.4142134189605713,5
