defect_id,zone,classification,centroid_x_px,centroid_y_px,width_px,area_px
img35_D1,Core,Pit/Dig,581.7612825956775,416.02541070448956,562.0,238797
img35_D2,Cladding,Pit/Dig,559.5,278.0,2.1213202476501465,8
img35_D3,Cladding,Pit/Dig,512.0,306.0,1.4142134189605713,11
img35_D4,Cladding,Pit/Dig,507.0,309.5,2.1213202476501465,8
img35_D5,Cladding,Pit/Dig,475.0,344.0,1.4142134189605713,5
img35_D6,Cladding,Pit/Dig,467.5,346.0,2.1213202476501465,8
img35_D7,Cladding,Pit/Dig,469.7,351.7,2.1213202476501465,10
img35_D8,Cladding,Pit/Dig,465.0,356.5,2.1213202476501465,8
img35_D9,Cladding,Scratch,460.74074074074076,372.25925925925924,2.4987802505493164,27
img35_D10,Cladding,Pit/Dig,699.6724137931035,375.8103448275862,6.740358352661133,58
img35_D11,Cladding,Pit/Dig,454.5,384.0,2.1213202476501465,8
img35_D12,Cladding,Pit/Dig,698.7,405.5,2.8284268379211426,20
img35_D13,Cladding,Pit/Dig,458.64,407.8,4.0249223709106445,25
img35_D14,Cladding,Pit/Dig,703.5,409.0,2.1213202476501465,12
img35_D15,Cladding,Pit/Dig,452.3333333333333,414.5,5.0,18
img35_D16,Cladding,Pit/Dig,464.0,416.0,1.4142134189605713,5
img35_D17,Cladding,Pit/Dig,464.5,420.5,1.4142134189605713,8
img35_D18,Cladding,Pit/Dig,450.0,424.15384615384613,2.0,13
img35_D19,Cladding,Pit/Dig,700.0,422.5,2.1213202476501465,12
img35_D20,Cladding,Pit/Dig,712.1111111111111,428.462962962963,5.295135974884033,54
img35_D21,Cladding,Pit/Dig,467.0,428.0,1.4142134189605713,5
img35_D22,Cladding,Pit/Dig,704.7,429.3,2.8284268379211426,10
img35_D23,Cladding,Pit/Dig,449.2142857142857,431.64285714285717,2.8284268379211426,14
img35_D24,Cladding,Pit/Dig,457.85,435.2,8.0,20
img35_D25,Cladding,Pit/Dig,700.0,440.0,1.4142134189605713,5
img35_D26,Cladding,Pit/Dig,706.5,440.5,2.8284268379211426,8
img35_D27,Cladding,Pit/Dig,711.0,447.0,1.4142134189605713,5
img35_D28,Cladding,Pit/Dig,701.5,450.25,2.1213202476501465,16
img35_D29,Cladding,Pit/Dig,698.0,458.0,1.4142134189605713,5
img35_D30,Cladding,Pit/Dig,700.5,463.5,2.8284268379211426,8
img35_D31,Cladding,Pit/Dig,704.5,466.5,1.4142134189605713,8
img35_D32,Cladding,Pit/Dig,463.0,468.0,1.4142134189605713,5
img35_D33,Cladding,Pit/Dig,690.5,468.5,1.4142134189605713,8
img35_D34,Cladding,Pit/Dig,696.0,470.0,2.8284268379211426,11
img35_D35,Cladding,Pit/Dig,464.0,473.0,1.4142134189605713,5
img35_D36,Cladding,Pit/Dig,696.0,476.0,1.4142134189605713,5
img35_D37,Cladding,Pit/Dig,469.0,483.0,1.4142134189605713,5
img35_D38,Cladding,Pit/Dig,689.5,486.0,2.1213202476501465,8
img35_D39,Cladding,Pit/Dig,665.0,518.0,1.4142134189605713,5
img35_D40,Cladding,Pit/Dig,554.0,540.0,1.4142134189605713,5
img35_D41,Cladding,Pit/Dig,561.4285714285714,542.9285714285714,6.260990142822266,14
