defect_id,zone,classification,centroid_x_px,centroid_y_px,width_px,area_px
img38_D1,Core,Pit/Dig,565.9347567206572,420.39542649318884,570.0,248562
img38_D2,Cladding,Pit/Dig,448.5,370.5,1.4142134189605713,8
img38_D3,Cladding,Pit/Dig,441.8,374.9,4.242640495300293,20
img38_D4,Cladding,Pit/Dig,450.0,376.0,1.4142134189605713,5
img38_D5,Cladding,Pit/Dig,452.0,381.5,2.1213202476501465,8
img38_D6,Cladding,Pit/Dig,690.0,381.0,1.4142134189605713,5
img38_D7,Cladding,Pit/Dig,438.0,384.0,1.4142134189605713,5
img38_D8,Cladding,Scratch,445.0,384.5,1.6641007661819458,12
img38_D9,Cladding,Scratch,688.0,386.5,5.269651889801025,12
img38_D10,Cladding,Pit/Dig,441.3333333333333,392.0,3.0,15
img38_D11,Cladding,Pit/Dig,686.0,392.0,1.4142134189605713,5
img38_D12,Cladding,Pit/Dig,449.0,394.0,1.4142134189605713,5
img38_D13,Cladding,Pit/Dig,696.0,398.0,1.4142134189605713,5
img38_D14,Cladding,Pit/Dig,446.0,403.4782608695652,4.242640495300293,23
img38_D15,Cladding,Pit/Dig,439.0,405.0,2.8284268379211426,11
img38_D16,Cladding,Pit/Dig,687.7,407.7,2.1213202476501465,10
img38_D17,Cladding,Pit/Dig,695.0,411.0,1.4142134189605713,5
img38_D18,Cladding,Pit/Dig,693.5,424.5,2.8284268379211426,8
img38_D19,Cladding,Pit/Dig,689.0,430.5,2.1213202476501465,8
img38_D20,Cladding,Pit/Dig,448.2962962962963,434.9259259259259,4.242640495300293,27
img38_D21,Cladding,Pit/Dig,443.0,433.0,1.4142134189605713,5
img38_D22,Cladding,Pit/Dig,694.0,435.0,1.4142134189605713,5
img38_D23,Cladding,Pit/Dig,687.3,439.7,2.8284268379211426,10
img38_D24,Cladding,Pit/Dig,445.7,446.3,2.8284268379211426,10
img38_D25,Cladding,Pit/Dig,441.27777777777777,450.94444444444446,3.535533905029297,18
img38_D26,Cladding,Pit/Dig,444.7,456.7,2.1213202476501465,10
img38_D27,Cladding,Pit/Dig,690.55,458.3,3.0,20
img38_D28,Cladding,Pit/Dig,438.0,457.0,1.4142134189605713,5
img38_D29,Cladding,Pit/Dig,445.0,466.0,2.8284268379211426,11
img38_D30,Cladding,Pit/Dig,451.0,469.0,1.4142134189605713,5
img38_D31,Cladding,Pit/Dig,447.0,477.0,1.4142134189605713,5
img38_D32,Cladding,Pit/Dig,458.0,479.0,1.4142134189605713,5
img38_D33,Cladding,Pit/Dig,468.5,505.0,2.1213202476501465,8
img38_D34,Cladding,Pit/Dig,521.3846153846154,543.0384615384615,4.242640495300293,26
img38_D35,Cladding,Pit/Dig,531.0,548.0,1.4142134189605713,5
