defect_id,zone,classification,centroid_x_px,centroid_y_px,width_px,area_px
19700101031204-J65535FT23_D1,Core,Pit/Dig,567.8152589848772,426.4713272209637,578.0,261328
19700101031204-J65535FT23_D2,Cladding,Scratch,524.09375,308.25,3.2584729194641113,32
19700101031204-J65535FT23_D3,Cladding,Pit/Dig,532.0,307.5,2.1213202476501465,8
19700101031204-J65535FT23_D4,Cladding,Pit/Dig,545.0,309.0,1.4142134189605713,5
19700101031204-J65535FT23_D5,Cladding,Pit/Dig,552.5,311.0,2.1213202476501465,8
19700101031204-J65535FT23_D6,Cladding,Pit/Dig,692.0,430.0,1.4142134189605713,5
