defect_id,zone,classification,centroid_x_px,centroid_y_px,width_px,area_px
19700101001933-J65535FT22_D1,Core,Pit/Dig,575.9936142531461,430.0500793742366,574.0,251341
19700101001933-J65535FT22_D2,Cladding,Pit/Dig,591.5,301.23333333333335,6.0,30
19700101001933-J65535FT22_D3,Cladding,Pit/Dig,564.0,302.0,1.4142134189605713,5
19700101001933-J65535FT22_D4,Cladding,Pit/Dig,536.0,305.0,1.4142134189605713,5
19700101001933-J65535FT22_D5,Cladding,Pit/Dig,514.0,310.0,1.4142134189605713,5
19700101001933-J65535FT22_D6,Cladding,Pit/Dig,520.0,309.5,2.1213202476501465,8
19700101001933-J65535FT22_D7,Cladding,Pit/Dig,531.0,311.0,1.4142134189605713,5
19700101001933-J65535FT22_D8,Cladding,Pit/Dig,495.0,324.0,1.4142134189605713,5
19700101001933-J65535FT22_D9,Cladding,Pit/Dig,467.0,357.0,1.4142134189605713,5
19700101001933-J65535FT22_D10,Cladding,Pit/Dig,699.0,388.0,1.4142134189605713,5
19700101001933-J65535FT22_D11,Cladding,Pit/Dig,450.0,392.5,2.0,10
19700101001933-J65535FT22_D12,Cladding,Pit/Dig,459.0,397.0,1.4142134189605713,5
19700101001933-J65535FT22_D13,Cladding,Pit/Dig,452.8333333333333,404.0,3.535533905029297,36
19700101001933-J65535FT22_D14,Cladding,Pit/Dig,705.5,399.5,2.8284268379211426,8
19700101001933-J65535FT22_D15,Cladding,Pit/Dig,705.7,416.3,2.8284268379211426,10
19700101001933-J65535FT22_D16,Cladding,Pit/Dig,707.0,434.5,2.1213202476501465,8
19700101001933-J65535FT22_D17,Cladding,Pit/Dig,446.2307692307692,436.0769230769231,2.1213202476501465,13
19700101001933-J65535FT22_D18,Cladding,Pit/Dig,708.0,445.0,1.4142134189605713,5
19700101001933-J65535FT22_D19,Cladding,Pit/Dig,450.1666666666667,459.8333333333333,9.943960189819336,30
19700101001933-J65535FT22_D20,Cladding,Pit/Dig,700.6842105263158,456.7368421052632,3.535533905029297,19
19700101001933-J65535FT22_D21,Cladding,Pit/Dig,459.0,468.0,1.4142134189605713,5
19700101001933-J65535FT22_D22,Cladding,Pit/Dig,461.3076923076923,476.15384615384613,6.063390731811523,13
19700101001933-J65535FT22_D23,Cladding,Pit/Dig,460.5652173913044,484.60869565217394,3.535533905029297,23
19700101001933-J65535FT22_D24,Cladding,Pit/Dig,654.0,534.0,1.4142134189605713,5
19700101001933-J65535FT22_D25,Cladding,Pit/Dig,635.0,544.5,2.1213202476501465,8
19700101001933-J65535FT22_D26,Cladding,Pit/Dig,629.0,554.0,1.4142134189605713,5
19700101001933-J65535FT22_D27,Cladding,Pit/Dig,551.0,563.0,1.4142134189605713,5
