defect_id,zone,classification,centroid_x_px,centroid_y_px,length_um,width_um,width_px,area_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px
img38_D1,Core,Scratch,526.2241379310345,380.2241379310345,,,10.606600761413574,174,508,362,46,46
img38_D2,Core,Scratch,603.7758620689655,380.2241379310345,,,62.22539520263672,174,577,362,46,46
img38_D3,Cladding,Scratch,507.1842105263158,421.5,,,13.034988403320312,38,506,415,4,14
img38_D4,Core,Scratch,526.2241379310345,457.7758620689655,,,62.22539520263672,174,508,431,46,46
img38_D5,Core,Scratch,603.7758620689655,457.7758620689655,,,10.606600761413574,174,577,431,46,46
