defect_id,zone,classification,centroid_x_px,centroid_y_px,width_px,area_px
19700101002156-J65535FT24_D1,Core,Pit/Dig,573.5947147266753,430.6150791596137,570.0,251075
19700101002156-J65535FT24_D2,Cladding,Pit/Dig,573.3,297.3,2.1213202476501465,10
19700101002156-J65535FT24_D3,Cladding,Pit/Dig,621.7,309.3,2.8284268379211426,10
19700101002156-J65535FT24_D4,Cladding,Pit/Dig,631.2352941176471,310.05882352941177,2.8284268379211426,17
19700101002156-J65535FT24_D5,Cladding,Pit/Dig,671.5,341.0,2.0,10
19700101002156-J65535FT24_D6,Cladding,Pit/Dig,696.0,373.0,1.4142134189605713,5
19700101002156-J65535FT24_D7,Cladding,Pit/Dig,691.75,378.5,2.1213202476501465,16
19700101002156-J65535FT24_D8,Cladding,Pit/Dig,691.0,386.0,1.4142134189605713,5
19700101002156-J65535FT24_D9,Cladding,Pit/Dig,697.0,388.5,3.535533905029297,12
19700101002156-J65535FT24_D10,Cladding,Pit/Dig,692.0,391.5,2.1213202476501465,8
19700101002156-J65535FT24_D11,Cladding,Pit/Dig,704.1,405.76666666666665,4.395537853240967,30
19700101002156-J65535FT24_D12,Cladding,Pit/Dig,441.0,435.0,1.4142134189605713,5
19700101002156-J65535FT24_D13,Cladding,Pit/Dig,698.8235294117648,442.29411764705884,2.8284268379211426,17
19700101002156-J65535FT24_D14,Cladding,Pit/Dig,706.5,444.5,2.8284268379211426,8
19700101002156-J65535FT24_D15,Cladding,Pit/Dig,700.0,452.0,1.4142134189605713,5
19700101002156-J65535FT24_D16,Cladding,Pit/Dig,450.12,470.56,7.0,25
19700101002156-J65535FT24_D17,Cladding,Pit/Dig,459.51851851851853,477.14814814814815,10.416662216186523,27
19700101002156-J65535FT24_D18,Cladding,Pit/Dig,454.2142857142857,482.92857142857144,2.4961509704589844,14
19700101002156-J65535FT24_D19,Cladding,Pit/Dig,457.52941176470586,491.6470588235294,4.242640495300293,17
19700101002156-J65535FT24_D20,Cladding,Pit/Dig,464.0,492.0,1.4142134189605713,5
19700101002156-J65535FT24_D21,Cladding,Pit/Dig,465.52941176470586,504.11764705882354,3.535533905029297,17
