defect_id,zone,classification,confidence_score,centroid_x_px,centroid_y_px,length_px,width_px,area_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,rotated_rect_center_px,rotated_rect_angle_deg
D1,Cladding,Pit/Dig,0.016071209832106206,578.1325682099006,419.10592618154425,338.0,336.0,89833,409,251,339,337,"(578.0, 419.0)",90.0
D5,Cladding,Pit/Dig,0.06122823984526121,539.8563762102351,527.5292946058091,313.9468078613281,223.60736083984375,3012,421,299,314,282,"(557.4174194335938, 463.207763671875)",117.10812377929688
D6,Cladding,Pit/Dig,0.009599605040843926,580.2522901452791,418.42118029571907,221.0,221.0,38753,470,308,222,222,"(580.5, 418.5)",90.0
D2,Cladding,Scratch,0.051498146775389275,588.6175972927241,300.8358714043993,43.0,11.0,98,568,294,44,12,"(589.5, 299.5)",90.0
D7,Cladding,Scratch,0.09288429406850468,444.7361111111111,461.47222222222223,36.136314392089844,4.2338547706604,36,440,442,11,36,"(443.6531066894531, 459.99725341796875)",164.93151092529297
D4,Cladding,Scratch,0.07542462087421939,546.0054200542005,300.6233062330623,30.39464569091797,6.560593128204346,61,530,296,31,9,"(544.9552612304688, 300.4620666503906)",85.2363510131836
D3,Cladding,Pit/Dig,0.174847104749512,620.5897435897435,298.4102564102564,7.0,7.0,45,617,295,8,8,"(620.5, 298.5)",90.0
